SET|PARTICIPANT|TIMESTAMP|SOURCE|X|Y|Z|TYPE|ACTIVITY|IS_FALL
stairs|5|2023-02-01 13:09:59.868|TAG|-0.98|0.148|-0.093|A|5|0
stairs|5|2023-02-01 13:09:59.876|TAG|-0.96|0.109|-0.093|A|5|0
stairs|5|2023-02-01 13:09:59.883|TAG|-0.906|0.05|-0.089|A|5|0
stairs|5|2023-02-01 13:09:59.891|TAG|-0.855|0.027|-0.105|A|5|0
stairs|5|2023-02-01 13:09:59.899|TAG|-0.804|-0.019|-0.101|A|5|0
stairs|5|2023-02-01 13:09:59.907|TAG|-0.75|-0.023|-0.101|A|5|0
stairs|5|2023-02-01 13:09:59.915|TAG|-0.699|-0.019|-0.058|A|5|0
stairs|5|2023-02-01 13:09:59.922|TAG|-0.699|0.007|-0.019|A|5|0
stairs|5|2023-02-01 13:09:59.930|TAG|-0.734|0.027|0.027|A|5|0
stairs|5|2023-02-01 13:09:59.938|TAG|-0.792|0.027|0.078|A|5|0
stairs|5|2023-02-01 13:09:59.946|TAG|-0.89|0.046|0.082|A|5|0
stairs|5|2023-02-01 13:09:59.954|TAG|-0.976|0.054|0.054|A|5|0
stairs|5|2023-02-01 13:09:59.961|TAG|-1.039|0.066|-0.007|A|5|0
stairs|5|2023-02-01 13:09:59.969|TAG|-1.078|0.085|-0.078|A|5|0
stairs|5|2023-02-01 13:09:59.977|TAG|-1.042|0.078|-0.179|A|5|0
stairs|5|2023-02-01 13:09:59.985|TAG|-0.964|0.015|-0.25|A|5|0
stairs|5|2023-02-01 13:09:59.993|TAG|-0.863|0|-0.316|A|5|0
stairs|5|2023-02-01 13:10:00.001|TAG|-0.73|-0.011|-0.347|A|5|0
stairs|5|2023-02-01 13:10:00.009|TAG|-0.636|-0.015|-0.398|A|5|0
stairs|5|2023-02-01 13:10:00.016|TAG|-0.546|-0.039|-0.488|A|5|0
stairs|5|2023-02-01 13:10:00.024|TAG|-0.5|-0.105|-0.574|A|5|0
stairs|5|2023-02-01 13:10:00.032|TAG|-0.382|-0.175|-0.66|A|5|0
stairs|5|2023-02-01 13:10:00.039|TAG|-0.328|-0.171|-0.636|A|5|0
stairs|5|2023-02-01 13:10:00.048|TAG|-0.324|-0.199|-0.546|A|5|0
stairs|5|2023-02-01 13:10:00.055|TAG|-0.347|-0.214|-0.445|A|5|0
stairs|5|2023-02-01 13:10:00.063|TAG|-0.441|-0.222|-0.312|A|5|0
stairs|5|2023-02-01 13:10:00.071|TAG|-0.652|-0.253|-0.218|A|5|0
stairs|5|2023-02-01 13:10:00.079|TAG|-0.812|-0.324|-0.089|A|5|0
stairs|5|2023-02-01 13:10:00.086|TAG|-1.078|-0.292|0.093|A|5|0
stairs|5|2023-02-01 13:10:00.094|TAG|-1.367|-0.265|0.281|A|5|0
stairs|5|2023-02-01 13:10:00.102|TAG|-1.66|-0.429|0.394|A|5|0
stairs|5|2023-02-01 13:10:00.110|TAG|-1.816|-0.199|0.343|A|5|0
stairs|5|2023-02-01 13:10:00.118|TAG|-1.847|-0.023|0.187|A|5|0
stairs|5|2023-02-01 13:10:00.126|TAG|-1.691|-0.082|-0.023|A|5|0
stairs|5|2023-02-01 13:10:00.133|TAG|-1.55|-0.121|-0.156|A|5|0
stairs|5|2023-02-01 13:10:00.141|TAG|-1.5|-0.054|-0.308|A|5|0
stairs|5|2023-02-01 13:10:00.149|TAG|-1.511|0.035|-0.316|A|5|0
stairs|5|2023-02-01 13:10:00.157|TAG|-1.375|0.046|-0.289|A|5|0
stairs|5|2023-02-01 13:10:00.164|TAG|-1.269|0.015|-0.242|A|5|0
stairs|5|2023-02-01 13:10:00.172|TAG|-1.23|-0.003|-0.167|A|5|0
stairs|5|2023-02-01 13:10:00.180|TAG|-1.199|0.019|-0.109|A|5|0
stairs|5|2023-02-01 13:10:00.188|TAG|-1.121|0.042|-0.031|A|5|0
stairs|5|2023-02-01 13:10:00.196|TAG|-1.054|0.082|0.027|A|5|0
stairs|5|2023-02-01 13:10:00.204|TAG|-1.023|0.16|0.16|A|5|0
stairs|5|2023-02-01 13:10:00.211|TAG|-1.011|0.144|0.195|A|5|0
stairs|5|2023-02-01 13:10:00.219|TAG|-1.003|0.093|0.105|A|5|0
stairs|5|2023-02-01 13:10:00.227|TAG|-1.015|0.054|0.054|A|5|0
stairs|5|2023-02-01 13:10:00.235|TAG|-1.007|0.054|-0.031|A|5|0
stairs|5|2023-02-01 13:10:00.243|TAG|-1.019|0.054|-0.019|A|5|0
stairs|5|2023-02-01 13:10:00.251|TAG|-1.019|0.035|0.027|A|5|0
stairs|5|2023-02-01 13:10:00.258|TAG|-1.031|0.019|0.121|A|5|0
stairs|5|2023-02-01 13:10:00.266|TAG|-1.011|0.027|0.179|A|5|0
stairs|5|2023-02-01 13:10:00.274|TAG|-0.992|0|0.183|A|5|0
stairs|5|2023-02-01 13:10:00.282|TAG|-1.003|0.011|0.238|A|5|0
stairs|5|2023-02-01 13:10:00.289|TAG|-0.988|0.085|0.234|A|5|0
stairs|5|2023-02-01 13:10:00.297|TAG|-0.925|0.046|0.226|A|5|0
stairs|5|2023-02-01 13:10:00.305|TAG|-0.882|-0.011|0.101|A|5|0
stairs|5|2023-02-01 13:10:00.313|TAG|-0.859|-0.058|0.109|A|5|0
stairs|5|2023-02-01 13:10:00.321|TAG|-0.765|-0.125|0|A|5|0
stairs|5|2023-02-01 13:10:00.329|TAG|-0.73|-0.191|-0.078|A|5|0
stairs|5|2023-02-01 13:10:00.336|TAG|-0.785|-0.109|-0.121|A|5|0
stairs|5|2023-02-01 13:10:00.344|TAG|-0.867|0.023|-0.128|A|5|0
stairs|5|2023-02-01 13:10:00.352|TAG|-0.882|0.058|-0.105|A|5|0
